Capital of Trinidad and Tobago;Port of Spain;;
Capital of Tunisia;Tunis;;
Capital of Turkey;Ankara;;
Capital of Turkmenistan;Ashgabat;;
Capital of Tuvalu;Funafuti;;
Capital of Uganda;Kampala;;
Capital of Ukraine;Kyiv;;
Capital of United Arab Emirates;Abu Dhabi;;
Capital of United Kingdom;London;;
Capital of United States;Washington; D.C.;
Capital of Uruguay;Montevideo;;
Capital of Uzbekistan;Tashkent;;
Capital of Vanuatu;Port Vila;;
Capital of Vatican City;Vatican City;;
Capital of Venezuela;Caracas;;
Capital of Vietnam;Hanoi;;
Capital of Yemen;Sana'a (de jure); Aden (temporary); Sana'a (Houthi-led Yemen)
Capital of Zambia;Lusaka;;
Capital of Zimbabwe;Harare;;
President of Afghanistan;Ashraf Ghani;;
President of Albania;Ilir Meta;;
President of Algeria;Abdelmadjid Tebboune;;
President of Andorra;Xavier Espot Zamora;;
President of Angola;João Lourenço;;
President of Antigua and Barbuda;Rodney Williams;;
President of Argentina;Alberto Fernández;;
President of Armenia;Armen Sarkissian;;
President of Australia;Scott Morrison;;
President of Austria;Alexander Van der Bellen;;
President of Azerbaijan;Ilham Aliyev;;
President of The Bahamas;Hubert Minnis;;
President of Bahrain;Hamad bin Isa Al Khalifa;;
President of Bangladesh;Abdul Hamid;;
President of Barbados;Sandra Mason;;
President of Belarus;Alexander Lukashenko;;
President of Belgium;King Philippe;;
President of Belize;Johnny Briceño;;
President of Benin;Patrice Talon;;
President of Bhutan;Jigme Khesar Namgyel Wangchuck;;
President of Bolivia;Luis Arce;;
President of Bosnia and Herzegovina;Šefik Džaferovi? (Chairman of the Presidency);;
President of Botswana;Mokgweetsi Masisi;;
President of Brazil;Jair Bolsonaro;;
President of Brunei;Hassanal Bolkiah;;
President of Bulgaria;Rumen Radev;;
President of Burkina Faso;Roch Marc Christian Kaboré;;
President of Burundi;Évariste Ndayishimiye;;
President of Cabo Verde;Jorge Carlos Fonseca;;
President of Cambodia;King Norodom Sihamoni;;
President of Cameroon;Paul Biya;;
President of Canada;Justin Trudeau;;
President of Central African Republic;Faustin-Archange Touadéra;;
President of Chad;Idriss Déby;;
President of Chile;Sebastián Piñera;;
President of China;Xi Jinping;;
President of Colombia;Iván Duque Márquez;;
President of Comoros;Azali Assoumani;;
President of Congo;Denis Sassou Nguesso;;
President of Costa Rica;Carlos Alvarado Quesada;;
President of Croatia;Zoran Milanovi?;;
President of Cuba;Miguel Díaz-Canel;;
President of Cyprus;Nicos Anastasiades;;
President of Czech Republic;Miloš Zeman;;
President of Democratic Republic of the Congo;Félix Tshisekedi;;
President of Denmark;Queen Margrethe II;;
President of Djibouti;Ismail Omar Guelleh;;
President of Dominica;Charles Savarin;;
President of Dominican Republic;Luis Abinader;;
President of East Timor;Francisco Guterres;;
President of Ecuador;Lenín Moreno;;
President of Egypt;Abdel Fattah el-Sisi;;
President of El Salvador;Nayib Bukele;;
President of Equatorial Guinea;Teodoro Obiang Nguema Mbasogo;;
President of Eritrea;Isaias Afwerki;;
President of Estonia;Kersti Kaljulaid;;
President of Eswatini;King Mswati III;;
President of Ethiopia;Sahle-Work Zewde;;
President of Fiji;Jioji Konrote;;
President of Finland;Sauli Niinistö;;
President of France;Emmanuel Macron;;
President of Gabon;Ali Bongo Ondimba;;
President of The Gambia;Adama Barrow;;
President of Georgia;Salome Zourabichvili;;
President of Germany;Frank-Walter Steinmeier;;
President of Ghana;Nana Akufo-Addo;;
President of Greece;Katerina Sakellaropoulou;;
President of Grenada;Angus Mitchell;;
President of Guatemala;Alejandro Giammattei;;
President of Guinea;Alpha Condé;;
President of Guinea-Bissau;Umaro Sissoco Embaló;;
President of Guyana;Irfaan Ali;;
President of Haiti;Jovenel Moïse;;
President of Honduras;Juan Orlando Hernández;;
President of Hungary;János Áder;;
President of Iceland;Guðni Th. Jóhannesson;;
President of India;Droupadi Murmu;;
President of Indonesia;Joko Widodo;;
President of Iran;Ebrahim Raisi;;
President of Iraq;Barham Salih;;
President of Ireland;Michael D. Higgins;;
President of Israel;Reuven Rivlin;;
President of Italy;Sergio Mattarella;;
President of Ivory Coast;Alassane Ouattara;;
President of Jamaica;Andrew Holness;;
President of Japan;Naruhito;;
President of Jordan;Abdullah II;;
President of Kazakhstan;Kassym-Jomart Tokayev;;
President of Kenya;Uhuru Kenyatta;;
President of Kiribati;Taneti Mamau;;
President of Kosovo;Vjosa Osmani;;
President of Kuwait;Sabah  Al-Ahmad Al-Jaber Al-Sabah;;
President of Kyrgyzstan;Sadyr Japarov;;
President of Laos;Bounnhang Vorachith;;
President of Latvia;Egils Levits;;
President of Lebanon;Michel Aoun;;
President of Lesotho;Letsie III;;
President of Liberia;George Weah;;
President of Libya;Mohamed al-Menfi;;
President of Liechtenstein;Adrian Hasler;;
President of Lithuania;Gitanas Nauseda;;
President of Luxembourg;Henri;;
President of Madagascar;Andry Rajoelina;;
President of Malawi;Lazarus Chakwera;;
President of Malaysia;Sultan Abdullah of Pahang;;
President of Maldives;Ibrahim Mohamed Solih;;
President of Mali;Assimi Goïta;;
President of Malta;George Vella;;
President of Marshall Islands;David Kabua;;
President of Mauritania;Mohamed Ould Ghazouani;;
President of Mauritius;Prithvirajsing Roopun;;
President of Mexico;Andrés Manuel López Obrador;;
President of Federated States of Micronesia;David W. Panuelo;;
President of Moldova;Maia Sandu;;
President of Monaco;Prince Albert II;;
President of Mongolia;Khaltmaagiin Battulga;;
President of Montenegro;Milo ?ukanovi?;;
President of Morocco;Mohammed VI;;
President of Mozambique;Filipe Nyusi;;
President of Myanmar;Myint Swe;;
President of Namibia;Hage Geingob;;
President of Nauru;Lionel Aingimea;;
President of Nepal;Bidhya Devi Bhandari;;
President of Netherlands;King Willem-Alexander;;
President of New Zealand;Jacinda Ardern;;
President of Nicaragua;Daniel Ortega;;
President of Niger;Mohamed Bazoum;;
President of Nigeria;Muhammadu Buhari;;
President of North Korea;Kim Jong-un;;
President of North Macedonia;Stevo Pendarovski;;
President of Norway;Harald V;;
President of Oman;Haitham bin Tariq Al Said;;
President of Pakistan;Arif Alvi;;
President of Palau;Surangel Whipps Jr.;;
President of Panama;Laurentino Cortizo;;
President of Papua New Guinea;James Marape;;
President of Paraguay;Mario Abdo Benítez;;
President of Peru;Pedro Castillo;;
President of Philippines;Rodrigo Duterte;;
President of Poland;Andrzej Duda;;
President of Portugal;Marcelo Rebelo de Sousa;;
President of Qatar;Tamim bin Hamad Al Thani;;
President of Romania;Klaus Iohannis;;
President of Russia;Vladimir Putin;;
President of Rwanda;Paul Kagame;;
President of Saint Kitts and Nevis;Timothy Harris;;
President of Saint Lucia;Allen Chastanet;;
President of Saint Vincent and the Grenadines;Ralph Gonsalves;;
President of Samoa;Tuimalealiifano Vaaleto'a Sualauvi II;;
President of San Marino;Gian Carlo Venturini;;
President of Sao Tome and Principe;Evaristo Carvalho;;
President of Saudi Arabia;Salman bin Abdulaziz Al Saud;;
President of Senegal;Macky Sall;;
President of Serbia;Aleksandar Vu?i?;;
President of Seychelles;Wavel Ramkalawan;;
President of Sierra Leone;Julius Maada Bio;;
President of Singapore;Halimah Yacob;;
President of Slovakia;Zuzana ?aputová;;
President of Slovenia;Borut Pahor;;
President of Solomon Islands;David Kabua;;
President of Somalia;Mohamed Abdullahi Mohamed;;
President of South Africa;Cyril Ramaphosa;;
President of South Korea;Moon Jae-in;;
President of South Sudan;Salva Kiir Mayardit;;
President of Spain;Pedro Sánchez;;
President of Sri Lanka;Gotabaya Rajapaksa;;
President of Sudan;Abdel Fattah al-Burhan;;
President of Sweden;Carl XVI Gustaf;;
President of Switzerland;Guy Parmelin;;
President of Syria;Bashar al-Assad;;
President of Taiwan;Tsai Ing-wen;;
President of Tajikistan;Emomali Rahmon;;
President of Tanzania;Samia Suluhu;;
President of Thailand;Maha Vajiralongkorn;;
President of Togo;Faure Gnassingbé;;
President of Tonga;King Tupou VI;;
President of Trinidad and Tobago;Paula-Mae Weekes;;
President of Tunisia;Kais Saied;;
President of Turkey;Recep Tayyip Erdo?an;;
President of Turkmenistan;Gurbanguly Berdimuhamedow;;
President of Tuvalu;Taneti Mamau;;
President of Uganda;Yoweri Museveni;;
President of Ukraine;Volodymyr Zelensky;;
President of  United Arab Emirates;Khalifa bin Zayed Al Nahyan;;
President of United Kingdom;Queen Elizabeth II;;
President of United States;Joe Biden;;
President of Uruguay;Luis Lacalle Pou;;
President of Uzbekistan;Shavkat Mirziyoyev;;
President of Vanuatu;Tallis Obed Moses;;
President of Vatican City;Pope Francis;;
President of Venezuela;Nicolás Maduro;;
President of Vietnam;Nguy?n Phú Tr?ng;;
President of Yemen;Abdrabbuh Mansur Hadi;;
President of Zambia;Edgar Lungu;;
President of Zimbabwe;Emmerson Mnangagwa;;
